sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta

371897,STREŽBA HRANE IN PIJAČE,LJUBLJANA - BTC,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

371925,STREŽBA,KAMNIK - CENTER,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

371938,MONTAŽA,CELJE TEREN PO SLOVENIJI,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

372045,TRŽENJE,DOMŽALE,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,4

372072,MARKETING,LJUBLJANA-ČRNUČE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

372101,PISMONOŠA,DOL PRI LJUBLJANI,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372102,PISMONOŠA,KAMNIK - DUPLICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372103,PISMONOŠA,KRANJSKA GORA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372108,PISMONOŠA,STARI TRG PRI LOŽU,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372109,PISMONOŠA,RADOMLJE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372110,PISMONOŠA,GROSUPLJE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372111,PISMONOŠA,IVANČNA GORICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372112,PISMONOŠA,RAKEK,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372114,PISMONOŠA,MORAVČE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372115,PISMONOŠA,KOČEVJE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,3

372116,PISMONOŠA,TRŽIČ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,3

372117,PISMONOŠA,LJUBLJANA BROD,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372118,RAZVOZ,KRANJ,6.76 €/h neto,PO DOGOVORU,PO DOGOVORU,2

372119,PISMONOŠA,VRHNIKA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,3

372121,PISMONOŠA,RIBNICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372123,PISMONOŠA,LJUBLJANA ŠTEPANSKO NASELJE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372125,LAŽJA FIZIČNA DELA,KRANJ,6.76 €/h neto,PO DOGOVORU,POPOLDAN,4

372127,PISMONOŠA,MEDVODE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372129,PISMONOŠA,ZAGORJE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372130,PISMONOŠA,ŠKOFLJICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372131,PISMONOŠA,NOTRANJE GORICE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372132,PISMONOŠA,ŽIRI,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372133,PISMONOŠA,LJUBLJANA VIČ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,5

372135,PISMONOŠA,PREDDVOR,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372137,PISMONOŠA,KRANJ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372139,PISMONOŠA,DOMŽALE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,3

372140,PISMONOŠA,MENGEŠ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,3

372141,PISMONOŠA,KRANJ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,10

372142,PISMONOŠA,CERKNICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372143,PISMONOŠA,LITIJA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372144,PISMONOŠA,LJUBLJANA RUDNIK,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372145,PISMONOŠA,LJUBLJANA MOSTE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372146,PISMONOŠA,TRZIN,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372147,TEŽJA FIZIČNA DELA,MARIBOR,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3

372148,PISMONOŠA,LJUBLJANA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372149,PISMONOŠA,BOROVNICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372150,PISMONOŠA,LJUBLJANA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372151,PISMONOŠA,LJUBLJANA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372152,PISMONOŠA,VELIKE LAŠČE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372153,PISMONOŠA,GORENJA VAS,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372154,PISMONOŠA,LJUBLJANA POLJE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372155,PISMONOŠA,LUKOVICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372156,PISMONOŠA,RADOVLJICA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372158,PISMONOŠA,KRANJ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,10

372161,PISMONOŠA,LOGATEC,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372162,PISMONOŠA,LJUBLJANA ŠIŠKA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372163,PISMONOŠA,LJUBLJANA ČRNUČE,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372164,PISMONOŠA,DOBROVA,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372165,PISMONOŠA,ŽELEZNIKI,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372166,PISMONOŠA,LJUBLJANA BEŽIGRAD,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372167,PISMONOŠA,CERKLJE NA GORENJSKEM,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372168,PISMONOŠA,BREZOVICA PRI LJUBLJANI,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

372169,PISMONOŠA,POLHOV GRADEC,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372170,PISMONOŠA,IG,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,

372176,LAŽJA FIZIČNA DELA,LJUBLJANA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,4

372180,LAŽJA FIZIČNA DELA,LJUBLJANA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,6

372210,PRODAJA,LJUBLJANA RUDNIK,6.80 €/h neto,PO DOGOVORU,IZMENSKO,

372228,TEŽJA FIZIČNA DELA,LJUBLJANA,6.76 €/h neto,PO DOGOVORU,POPOLDAN,2

372247,DELO NA TERENU,ZGORNJI BRNIK,6.50 €/h neto,PO DOGOVORU,DOPOLDAN,2

372312,GRADBENA DELA,LENART,7.00 €/h neto,PO DOGOVORU,DOPOLDAN,2

372381,DELO V PROIZVODNJI,"LOČICA OB SAVINJI, POLZELA",7.00 €/h neto,PO DOGOVORU,IZMENSKO,2

372479,POMOČ V TRGOVINI,MOSTE PRI KOMENDI,8.45 €/h neto,PO DOGOVORU,IZMENSKO,2

372492,STREŽBA,LJUBLJANA,7.00 €/h neto,PO DOGOVORU,IZMENSKO,4

372503,POMOČ V STREŽBI,MENGEŠ,7.00 €/h neto,PO DOGOVORU,IZMENSKO,2

372523,PRAVNE STORITVE,LJUBLJANA - CENTER,5.92 €/h neto,PO DOGOVORU,DOPOLDAN,

372540,STREŽBA,FRANKOLOVO,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

372612,STREŽBA,KRANJ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

372619,STREŽBA,TREBNJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

372621,POMOČ V STREŽBI,KRANJSKA GORA,7.00 €/h neto,PO DOGOVORU,POPOLDAN,3

372635,POMOČ UPORABNIKOM,LJUBLJANA ALI OD DOMA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

372644,STREŽBA HRANE IN PIJAČE,KOMEN,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

372649,DELO V KUHINJI,KOMEN,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

372661,POMOČ PRI PRODAJI,VELENJE,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

372708,STREŽBA,LUCIJA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

372744,LAŽJA FIZIČNA DELA,MALEČNIK,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,5

372747,DELO V KUHINJI,LJUBLJANA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

372756,POMOČ V STREŽBI,CELJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

372917,POMOČ V STREŽBI,RADENCI,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

372920,DELO S STRANKAMI,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

372933,POMOČ V KUHINJI,MARIBOR CENTER,5.70 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

372936,DELO V KUHINJI,MARIBOR CENTER,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

372938,POMOČ V STREŽBI,MARIBOR,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

372973,STREŽBA,VODICE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

372981,KLICNI CENTER,LJUBLJANA BEŽIGRAD,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,4

372982,DELO NA BENCINSKEM SERVISU,PINCE (LENDAVA),6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

372997,STREŽBA HRANE IN PIJAČE,POHORJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,4

373002,STREŽBA,POSTOJNA,6.51 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

373067,STREŽBA,KRANJ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

373083,STREŽBA,PODGORICA,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

373135,BLAGAJNIK,PESNICA,5.49 €/h neto,PO DOGOVORU,IZMENSKO,2

373157,ELEKTROTEHNIČNA DELA,RADOMLJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

373166,PROJEKTNO DELO,TRZIN,7.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

373177,STREŽBA,KAMNIK,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

373228,STREŽBA,IZOLA,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

373230,STREŽBA,LJUBLJANA TRNOVO,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

373234,PROJEKTNO DELO,LJUBLJANA,6.51 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

373244,STREŽBA,BREZOVICA PRI LJUBLJANI,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

373263,BLAGAJNIK,KAMNIK,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

373264,RAZVOZ,KAMNIK,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

373296,STREŽBA,MARIBOR,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

373355,STREŽBA,CELJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

373396,DELO NA BENCINSKEM SERVISU,KOMENDA,5.63 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

373427,DELO V PROIZVODNJI,KRANJ - SAVSKA LOKA,5.82 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

373429,ČIŠČENJE,CELJE,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

373436,DELO V RENT A CAR AGENCIJI,LJUBLJANA,6.20 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

373450,RAZVOZ,MARIBOR,5.80 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

373483,STREŽBA HRANE IN PIJAČE,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

373485,POMOČ V KUHINJI,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

373490,STREŽBA HRANE IN PIJAČE,KOPER,6.25 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

373509,DELO V SKLADIŠČU,LESCE,6.76 €/h neto,PO DOGOVORU,PO DOGOVORU,2

373516,DELO V KUHINJI,LJUBLJANA,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

373544,DELO V PROIZVODNJI,KRANJ,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

373561,POMOČ PRI PRODAJI,LESCE,5.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

373615,POMOČ V TRGOVINI,MENGEŠ,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

373617,DELO NA TERENU,LJUBLJANA/PO SLOVENIJI,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

373690,DELO V KUHINJI,RADOVLJICA,5.24 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

373757,STREŽBA HRANE IN PIJAČE,MIKLAVŽ NA DRAVSKEM POLJU,6.50 €/h neto,PO DOGOVORU,MED VIKENDI,2

373760,STREŽBA,LANCOVO,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

373805,DELO V KUHINJI,PODČETRTEK,6.00 €/h neto,PO DOGOVORU,IZMENSKO,3

373815,ADMINISTRATIVNA DELA,LUKOVICA,6.76 €/h neto,PO DOGOVORU,PO DOGOVORU,

373820,STREŽBA,MARIBOR,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,3

373827,ADMINISTRATIVNA DELA,ŠKOFJA LOKA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

373836,DELO V DELAVNICI,BOROVNICA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

373964,STREŽBA,PESNICA PRI MARIBORU,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

374004,STREŽBA HRANE IN PIJAČE,LJUBLJANA,6.00 €/h neto,PO DOGOVORU,IZMENSKO,5

374005,STREŽBA HRANE IN PIJAČE,LJUBLJANA - ČOPOVA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,5

374007,DELO V KUHINJI,NOVO MESTO,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,5

374019,STREŽBA,KOPER,6.21 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

374034,STREŽBA HRANE IN PIJAČE,HOČE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

374041,KOMERCIALNA DELA,SLOVENSKA BISTRICA,5.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,5

374043,KOMERCIALNA DELA,PTUJ IN OKOLICA,6.44 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

374054,DELO NA BENCINSKEM SERVISU,VOKLO ZAHOD (SMER LJUBLJANA),5.28 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

374064,PORTIR/KA,LJUBLJANA CENTER,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

374104,DELO V SKLADIŠČU,LETALIŠČE BRNIK,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

374159,STREŽBA,ŠENTJUR,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

374169,STREŽBA,RADOMLJE,7.00 €/h neto,PO DOGOVORU,IZMENSKO,2

374217,STREŽBA HRANE IN PIJAČE,LJUBLJANA,5.83 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",PO DOGOVORU,20

374231,DELO V KUHINJI,LJUBLJANA,5.83 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

374247,POMOČ V KUHINJI,LJUBLJANA CENTER,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

374250,PROGRAMIRANJE,LJUBLJANA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

374313,FIZIČNA DELA,OKOLICA CELJA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

374317,PRODAJA,KAMNIK,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

374318,STREŽBA HRANE IN PIJAČE,HOČE,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

374341,DELO V KUHINJI,LJUBLJANA,7.00 €/h neto,PO DOGOVORU,IZMENSKO,2

374353,DELO V KUHINJI,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8

374354,POMOČ V STREŽBI,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO) OZ. PO DOGOVORU,IZMENSKO,10

374380,POMOČ V KUHINJI,BOROVNICA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,

374387,STREŽBA,TRNOVSKA VAS,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

374408,STREŽBA,VOLIČINA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

374425,STREŽBA,"PINCE, LENDAVA",6.60 €/h neto,PO DOGOVORU,PO DOGOVORU,3

374462,DELO NA TERENU,ČRNOMELJ,6.00 €/h neto,PO DOGOVORU,DOPOLDAN,

374481,POMOČ V STREŽBI,LJUBLJANA,7.50 €/h neto,PO DOGOVORU,IZMENSKO,

374487,STREŽBA,KRANJ,7.18 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

374501,POMOČ V STREŽBI,MURSKA SOBOTA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

374542,STREŽBA,ŠKOFJA LOKA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

374561,UREDNIK SPLETNIH VSEBIN,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

374589,INŠTALACIJE,LJUBLJANA,5.49 €/h neto,PO DOGOVORU,DOPOLDAN,

374605,POMOČ V STREŽBI,LJUBLJANA - SUPERNOVA,5.58 €/h neto,PO DOGOVORU,POPOLDAN,10

374694,STREŽBA,MARIBOR,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

374712,POMOČ V STREŽBI,ŠMARTNO,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

374747,POMOČ PRI PRODAJI,LJUBLJANA - CITYPARK,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

374748,POMOČ PRI PRODAJI,MARIBOR - EUROPARK,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

374753,FIZIČNA DELA,DOB PRI DOMŽALAH,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

374764,DELO V ZDRAVSTVU,"MARIBOR, OKOLICA IN SLOVENIJA",6.00 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",PO DOGOVORU,3

374813,STREŽBA,KRANJ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

374840,STREŽBA,ŠOŠTANJ,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

374875,STREŽBA HRANE IN PIJAČE,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

374891,POMOČ V STREŽBI,ZGORNJA POLSKAVA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

374907,BLAGAJNIK,KOPER,6.25 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

374913,DELO V KUHINJI,KRANJSKA GORA,8.00 €/h neto,PO DOGOVORU,IZMENSKO,2

374928,PRODAJA,KOPER,6.06 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

374973,STREŽBA,KRANJ,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

374974,ČIŠČENJE,KRANJ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

375038,POMOČ V STREŽBI,BOROVNICA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,

375054,STREŽBA,JARENINA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2

375055,POMOČ V KUHINJI,JARENINA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2

375089,PROJEKTNO DELO,LJUBLJANA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

375094,STREŽBA,CELJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

375096,STREŽBA,ŽALEC,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

375144,STREŽBA,IVANČNA GORICA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

375175,POMOČ V STREŽBI,MOJSTRANA,6.00 €/h neto,PO DOGOVORU,IZMENSKO,

375226,DELO V KUHINJI,SREDNJA VAS V BOHINJU,6.50 €/h neto,PO DOGOVORU,DOPOLDAN,

375240,ČIŠČENJE,MARIBOR,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

375266,PROGRAMIRANJE,LJUBLJANA IN DELO OD DOMA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

375267,PROGRAMIRANJE,LJUBLJANA IN DELO OD DOMA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

375276,DELO NA BENCINSKEM SERVISU,IZOLA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

375283,PROJEKTIRANJE,LJUBLJANA,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

375288,PREVAJANJE,PREKMURJE OZ. NA DALJAVO,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

375351,PROJEKTIRANJE,VRHNIKA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

375413,STREŽBA,RADOVLJICA,7.00 €/h neto,PO DOGOVORU ,IZMENSKO,2

375430,DELO V KUHINJI,KRANJSKA GORA,10.00 €/h neto,PO DOGOVORU,IZMENSKO,2

375520,GRADBENA DELA,KRANJ,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

375522,TELEFONSKI MARKETING,PTUJ,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

375525,PROGRAMIRANJE,OD DOMA,9.50 €/h neto,PO DOGOVORU,PO DOGOVORU,2

375527,KOMERCIALNA DELA,"MURSKA SOBOTA, GORNJA RADGONA",5.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,5

375552,STREŽBA,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

375564,STREŽBA HRANE IN PIJAČE,LJUBLJANA - RUDNIK,6.50 €/h neto,PO DOGOVORU,IZMENSKO,4

375615,DIGITALNI MARKETING,TRZIN,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

375616,DELO V SKLADIŠČU,TRZIN,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

375618,POMOČ UPORABNIKOM,TRZIN,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

375621,RAZVOZ,SERMIN,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

375640,DELO V PROIZVODNJI,LENART,7.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,4

375642,STREŽBA,KAMNIK,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

375645,DELO NA BENCINSKEM SERVISU,DRAMLJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

375695,PRODAJA,PORTOROŽ,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

375698,ADMINISTRATIVNA DELA,PORTOROŽ,7.00 €/h neto,PO DOGOVORU ,PO DOGOVORU,

375763,STREŽBA,LJUBLJANA,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

375768,STREŽBA,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

375796,ELEKTROTEHNIČNA DELA,LJUBLJANA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

