sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta
334607,RAZVOZ,TREBNJE,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

334618,POUČEVANJE,ŠKOFJA LOKA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

334619,POUČEVANJE,ŠKOFJA LOKA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

334620,POUČEVANJE,ŠKOFJA LOKA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

334621,POUČEVANJE,ŠKOFJA LOKA,10.14 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

334622,POUČEVANJE,ŠKOFJA LOKA,10.14 €/h neto,PO DOGOVORU ,PO DOGOVORU,

334760,STREŽBA,DOMŽALE,6.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,2

334977,STREŽBA,LJUBLJANA ŠMARTINSKA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

335149,STREŽBA,KRANJ,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

335173,STREŽBA,ŠKOFJA LOKA,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

335201,STREŽBA,VOJNIK,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

335233,DELO NA TERENU,"LJUBLJANA, GORENJSKA",5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

335288,STREŽBA HRANE IN PIJAČE,TRZIN,6.50 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,4

335391,STREŽBA HRANE IN PIJAČE,ŠMARTNO PRI LITIJI,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2

335509,STREŽBA,JESENICE,6.34 €/h neto,PO DOGOVORU,POPOLDAN,

335526,STREŽBA,KRTINA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

335582,STREŽBA,DOMŽALE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

335799,STREŽBA,VELENJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

335806,STREŽBA,CIRKOVCE PRI PTUJU,6.00 €/h neto,DLJE ČASA (OBČASNO),POPOLDAN,

335874,STREŽBA HRANE IN PIJAČE,LJUBLJANA,6.76 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,3

336034,STREŽBA,LJUBLJANA-ŠIŠKA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

336120,STREŽBA HRANE IN PIJAČE,TRŽIČ,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

336167,STREŽBA,PETROVČE,8.00 €/h neto,PO DOGOVORU,IZMENSKO,2

336692,KLICNI CENTER,LJUBLJANA,7.00 €/h neto,PO DOGOVORU,DOPOLDAN,

336703,STREŽBA HRANE IN PIJAČE,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,3

336706,DELO V TURIZMU,PIRAN,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

336718,STREŽBA,LJUBLJANA,5.92 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,3

336916,STREŽBA,CELJE,5.92 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,3

337112,POMOČ V STREŽBI,ŽALEC,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

337217,POMOČ V STREŽBI,MEDVODE,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2

337293,STREŽBA,BLED,7.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,2

337310,STREŽBA,ŠKOFJA LOKA,5.49 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

337326,STREŽBA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

337341,PRODAJA,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

337750,DELO V KUHINJI,KRTINA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

337973,DELO V KUHINJI,PTUJ,6.00 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",PO DOGOVORU,

338198,STREŽBA,LJUBLJANA BEŽIGRAD,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

338215,POMOČ V STREŽBI,LUKOVICA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

338377,STREŽBA,ILIRSKA BISTRICA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

338380,STREŽBA,GROSUPLJE,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

338477,STREŽBA,MENGEŠ,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3

338617,STREŽBA,IG,6.00 €/h neto,PO DOGOVORU ,IZMENSKO,3

338720,POMOČ V STREŽBI,LJUBNO OB SAVINJI,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

338819,STREŽBA HRANE IN PIJAČE,IZLAKE,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

338940,STREŽBA,"NEGOVA, SPODNJI IVANJCI",5.83 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

338985,POMOČ V STREŽBI,"ZG. JARŠE, RADOMLJE",5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

338997,STREŽBA,ZABUKOVICA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

339140,STREŽBA,MEDVODE,5.50 €/h neto,PO DOGOVORU,PO DOGOVORU,2

339398,POMOČ V STREŽBI,LJUBLJANA NOVE JARŠE,7.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,2

339399,STREŽBA HRANE IN PIJAČE,LJUBLJANA BTC,7.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,2

339525,STREŽBA,KRANJSKA GORA,8.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

339544,RAZVOZ,LJUBLJANA ŠIŠKA,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

339752,STREŽBA HRANE IN PIJAČE,KOMENDA,5.92 €/h neto,PO DOGOVORU,PO DOGOVORU,

340122,ZDRAVSTVENA NEGA,"KRANJ IN OKOLICA, ŠENČUR",7.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,4

340733,STREŽBA,MORAVČE,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

340945,POMOČ V STREŽBI,GROSUPLJE,7.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,

340967,STREŽBA HRANE IN PIJAČE,"SELCA, ŽELEZNIKI",6.76 €/h neto,PO DOGOVORU,PO DOGOVORU,2

341417,ZDRAVSTVENA NEGA,LJUBLJANA,7.60 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,10

341418,ZDRAVSTVENA NEGA,LJUBLJANA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

341638,DELO V DELAVNICI,MARIBOR,5.49 €/h neto,PO DOGOVORU,DOPOLDAN,2

341794,STREŽBA,KOPER,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

342093,STREŽBA HRANE IN PIJAČE,ŠMARTNO PRI LITIJI,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

342116,STREŽBA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

342174,ČIŠČENJE,KRANJSKA GORA,6.00 €/h neto,PO DOGOVORU ,PO DOGOVORU,3

342423,POMOČ V STREŽBI,VELIKA POLANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

342553,ZDRAVSTVENI TEHNIK,LJUBLJANA,5.49 €/h neto,PO DOGOVORU,PO DOGOVORU,3

342747,STROJNIŠKA DELA,ZGORNJI DUPLEK,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

342847,GRADBENA DELA,GORENJA VAS,5.50 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",PO DOGOVORU,2

343127,STREŽBA,LJUBLJANA ŠMARTNO,5.83 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

